Disease	cervical cancer	Rank_cervical cancer
HG02075	3.5043	0.4808
HG02076	2.9698	0.4429
HG02078	1	0.0308
HG02079	1.4924	0.1294
HG02081	1.9899	0.1801
HG02082	1.1193	0.0575
HG02084	1.8804	0.1741
HG02085	5.8873	0.8966
HG02086	3.9598	0.5036
HG02087	1.4924	0.1294
HG02088	3.7419	0.4996
HG02089	1	0.0308
HG02090	4.6725	0.6122
HG02095	5.8873	0.8966
HG02102	4.6725	0.6122
HG02104	3.9598	0.5036
HG02105	3.9598	0.5036
HG02107	4.6725	0.6122
HG02108	4.1351	0.6022
HG02111	5.5135	0.8075
HG02113	2.3481	0.2704
HG02116	1.761	0.155
HG02121	0.945	0.0288
HG02122	2.9698	0.4429
HG02127	1.4924	0.1294
HG02128	3.5043	0.4808
HG02130	2.2189	0.2624
HG02131	1	0.0308
HG02133	1.4924	0.1294
HG02134	1.4924	0.1294
HG02136	1.761	0.155
HG02137	0.75	0.0076
HG02138	0.5625	4.00E-04
HG02139	3.9598	0.5036
HG02140	3.491	0.4649
HG02141	1.9899	0.1801
HG02142	2.2189	0.2624
HG02143	3.9598	0.5036
HG02144	5.8873	0.8966
HG02146	3.9598	0.5036
HG02147	4.6725	0.6122
HG02150	2.3481	0.2704
HG02151	2.6282	0.3706
HG02152	3.7419	0.4996
HG02153	0.885	0.0176
HG02154	1.4924	0.1294
HG02155	1.4924	0.1294
HG02156	1.0443	0.0547
HG02164	1.761	0.155
HG02165	0.885	0.0176
HG02166	0.885	0.0176
HG02178	1.4924	0.1294
HG02179	0.5625	4.00E-04
HG02180	2.7707	0.3726
HG02181	4.6725	0.6122
HG02182	2.2189	0.2624
HG02184	1.1151	0.0559
HG02185	1.9899	0.1801
HG02186	1.0443	0.0547
HG02187	1.4924	0.1294
HG02188	1.1193	0.0575
HG02190	2.2273	0.2684
HG02215	3.491	0.4649
HG02219	6.9469	0.9609
HG02220	5.5135	0.8075
HG02221	1.9899	0.1801
HG02223	2.7707	0.3726
HG02224	1.7544	0.151
HG02230	4.6725	0.6122
HG02231	2.7707	0.3726
HG02232	1	0.0308
HG02233	2.3481	0.2704
HG02235	3.9598	0.5036
HG02236	1.4868	0.1178
HG02238	1.7544	0.151
HG02239	3.5043	0.4808
HG02250	0.5625	4.00E-04
HG02252	2.9586	0.4022
HG02253	3.9598	0.5036
HG02255	5.5135	0.8075
HG02256	5.5135	0.8075
HG02259	3.9598	0.5036
HG02260	4.6725	0.6122
HG02262	3.9598	0.5036
HG02265	4.6725	0.6122
HG02266	5.5135	0.8075
HG02271	2.3481	0.2704
HG02272	3.9598	0.5036
HG02274	3.9598	0.5036
HG02275	4.6725	0.6122
HG02277	1	0.0308
HG02278	4.6725	0.6122
