Disease	cervical cancer	Rank_cervical cancer
NA18868	4.9893	0.7772
NA18870	6.9469	0.9609
NA18871	4.6725	0.6122
NA18873	2.3481	0.2704
NA18874	3.9598	0.5036
NA18876	5.8873	0.8966
NA18877	4.6725	0.6122
NA18878	3.9598	0.5036
NA18879	4.6725	0.6122
NA18881	5.5135	0.8075
NA18907	3.9598	0.5036
NA18908	5.8873	0.8966
NA18909	4.6725	0.6122
NA18910	6.9469	0.9609
NA18912	4.6725	0.6122
NA18915	5.5135	0.8075
NA18916	4.9893	0.7772
NA18917	3.9598	0.5036
NA18923	6.9469	0.9609
NA18924	4.6725	0.6122
NA18933	4.6725	0.6122
NA18934	2.3481	0.2704
NA18939	1.4049	0.1162
NA18940	3.9598	0.5036
NA18941	1.3208	0.101
NA18942	0.5625	4.00E-04
NA18943	0.885	0.0176
NA18944	1.761	0.155
NA18945	2.9698	0.4429
NA18946	3.5043	0.4808
NA18947	1.18	0.0647
NA18948	5.8873	0.8966
NA18949	5.8873	0.8966
NA18950	1.8804	0.1741
NA18951	3.2989	0.4633
NA18952	2.8064	0.4018
NA18953	1.4103	0.1166
NA18954	2.3481	0.2704
NA18956	1.4924	0.1294
NA18957	2.3481	0.2704
NA18959	3.7419	0.4996
NA18960	1.1193	0.0575
NA18961	0.8363	0.0164
NA18962	3.9598	0.5036
NA18963	4.3987	0.6066
NA18964	4.6725	0.6122
NA18965	2.078	0.26
NA18966	1.4924	0.1294
NA18967	1.9899	0.1801
NA18968	0.945	0.0288
NA18969	1	0.0308
NA18970	0.885	0.0176
NA18971	1.1193	0.0575
NA18972	3.5043	0.4808
NA18973	2.6282	0.3706
NA18974	1.26	0.0938
NA18975	2.9586	0.4022
NA18976	3.9598	0.5036
NA18977	1.1193	0.0575
NA18978	1.1193	0.0575
NA18979	0.75	0.0076
NA18980	1.761	0.155
NA18981	2.9698	0.4429
NA18982	1.9899	0.1801
NA18983	2.9698	0.4429
NA18984	4.6725	0.6122
NA18985	1.761	0.155
NA18986	2.2189	0.2624
NA18987	3.5043	0.4808
NA18988	5.8873	0.8966
NA18989	2.3481	0.2704
NA18990	2.3481	0.2704
NA18991	1.9899	0.1801
NA18992	1	0.0308
NA18993	3.5043	0.4808
NA18994	2.2189	0.2624
NA18995	3.7419	0.4996
NA18997	0.75	0.0076
NA18998	3.9598	0.5036
NA18999	1.761	0.155
NA19000	1.761	0.155
NA19001	1.4103	0.1166
NA19002	2.3481	0.2704
NA19003	3.5043	0.4808
NA19004	3.9598	0.5036
NA19005	1.4924	0.1294
NA19006	1.4924	0.1294
NA19007	3.491	0.4649
NA19009	2.078	0.26
NA19010	0.75	0.0076
NA19011	1	0.0308
NA19012	3.9075	0.5032
NA19017	5.8873	0.8966
NA19019	4.6725	0.6122
NA19020	5.5135	0.8075
NA19023	3.9598	0.5036
NA19024	4.6725	0.6122
NA19025	6.9469	0.9609
NA19026	5.5135	0.8075
NA19027	5.8873	0.8966
NA19028	5.5135	0.8075
NA19030	6.9469	0.9609
NA19031	2.3481	0.2704
NA19035	4.6725	0.6122
NA19036	4.6725	0.6122
NA19037	5.8873	0.8966
NA19038	2.9586	0.4022
NA19041	6.9469	0.9609
NA19042	6.9469	0.9609
NA19043	3.9598	0.5036
NA19054	4.6725	0.6122
NA19055	3.7277	0.4936
NA19056	2.9698	0.4429
NA19057	2.7707	0.3726
NA19058	1.761	0.155
NA19059	3.7419	0.4996
NA19060	1.4924	0.1294
NA19062	2.9586	0.4022
NA19063	1.4868	0.1178
NA19064	1.9899	0.1801
NA19065	4.6725	0.6122
NA19066	1.761	0.155
NA19067	0.6637	0.0048
NA19068	0.75	0.0076
NA19070	0.885	0.0176
NA19072	1.761	0.155
NA19074	1.4924	0.1294
NA19075	2.9698	0.4429
NA19076	1.9899	0.1801
NA19077	2.7707	0.3726
NA19078	3.5043	0.4808
NA19079	2.2189	0.2624
NA19080	0.75	0.0076
NA19081	3.491	0.4649
NA19082	3.9598	0.5036
NA19083	4.6725	0.6122
NA19084	1.6641	0.1502
NA19085	1	0.0308
NA19086	1.9899	0.1801
NA19087	3.5043	0.4808
NA19088	2.5073	0.3494
NA19089	5.5135	0.8075
NA19090	1.777	0.1725
NA19091	1.4103	0.1166
NA19092	4.9893	0.7772
NA19093	4.6725	0.6122
NA19095	4.6725	0.6122
NA19096	5.5135	0.8075
NA19098	4.6725	0.6122
NA19099	2.3481	0.2704
NA19102	4.6725	0.6122
NA19107	2.9586	0.4022
NA19108	5.5135	0.8075
NA19113	4.6725	0.6122
NA19114	6.9469	0.9609
NA19116	3.9598	0.5036
NA19117	4.6725	0.6122
NA19118	6.9469	0.9609
NA19119	2.7707	0.3726
NA19121	5.5135	0.8075
NA19129	3.9598	0.5036
NA19130	3.9598	0.5036
NA19131	3.9598	0.5036
NA19137	5.8873	0.8966
NA19138	3.9598	0.5036
NA19141	2.3481	0.2704
NA19143	5.8873	0.8966
NA19144	5.5135	0.8075
NA19146	4.6725	0.6122
NA19147	5.8873	0.8966
NA19149	5.5135	0.8075
NA19152	6.9469	0.9609
NA19153	2.3481	0.2704
NA19159	2.3481	0.2704
NA19160	4.6725	0.6122
NA19171	5.5135	0.8075
NA19172	3.9598	0.5036
NA19175	6.9469	0.9609
NA19184	4.6725	0.6122
NA19185	2.9586	0.4022
NA19189	4.6725	0.6122
NA19190	5.5135	0.8075
NA19197	4.6725	0.6122
NA19198	4.6725	0.6122
NA19200	3.9598	0.5036
NA19201	2.9586	0.4022
NA19204	1.9899	0.1801
NA19206	7.4179	0.9936
NA19207	2.9586	0.4022
NA19209	3.9598	0.5036
NA19210	5.5135	0.8075
NA19213	4.6725	0.6122
NA19214	5.5135	0.8075
NA19222	2.3481	0.2704
NA19223	4.6725	0.6122
NA19225	3.9598	0.5036
NA19235	6.9469	0.9609
NA19236	5.5135	0.8075
NA19238	4.6725	0.6122
NA19239	5.5135	0.8075
NA19247	3.9598	0.5036
NA19248	6.9469	0.9609
NA19256	4.6725	0.6122
NA19257	5.8873	0.8966
NA19307	2.7707	0.3726
NA19308	5.8873	0.8966
NA19309	5.8873	0.8966
NA19310	5.5135	0.8075
NA19312	3.9598	0.5036
NA19314	4.6725	0.6122
NA19315	3.5043	0.4808
NA19316	3.9598	0.5036
NA19317	4.6725	0.6122
NA19318	3.9598	0.5036
NA19319	4.6725	0.6122
NA19320	5.5135	0.8075
NA19321	4.6725	0.6122
NA19323	4.6725	0.6122
NA19324	2.7707	0.3726
NA19327	4.6725	0.6122
NA19328	5.5135	0.8075
NA19331	6.2865	0.9577
NA19332	3.491	0.4649
NA19334	4.6725	0.6122
NA19338	3.9598	0.5036
NA19346	4.6725	0.6122
NA19347	4.6725	0.6122
NA19350	2.7707	0.3726
NA19351	3.9598	0.5036
NA19355	6.9469	0.9609
NA19360	5.8873	0.8966
NA19372	3.9598	0.5036
NA19374	2.7707	0.3726
NA19375	5.5135	0.8075
NA19376	4.6725	0.6122
NA19377	5.5135	0.8075
NA19378	3.9598	0.5036
NA19379	5.5135	0.8075
NA19380	5.5135	0.8075
NA19383	5.5135	0.8075
NA19384	3.9598	0.5036
NA19385	6.9469	0.9609
NA19390	5.5633	0.8962
NA19391	4.6725	0.6122
NA19393	3.9598	0.5036
NA19394	3.9598	0.5036
NA19395	5.5135	0.8075
NA19397	5.5135	0.8075
NA19399	4.6725	0.6122
NA19401	4.6725	0.6122
NA19403	4.9893	0.7772
NA19404	5.5135	0.8075
NA19428	4.6725	0.6122
NA19429	3.5043	0.4808
NA19430	5.5135	0.8075
NA19431	4.6725	0.6122
NA19434	4.6725	0.6122
NA19435	5.5135	0.8075
NA19436	4.6725	0.6122
NA19437	5.5135	0.8075
NA19438	3.9598	0.5036
NA19439	5.5135	0.8075
NA19440	4.6725	0.6122
NA19443	5.5135	0.8075
NA19445	1.9899	0.1801
NA19446	3.9598	0.5036
NA19448	3.9598	0.5036
NA19449	3.9598	0.5036
NA19451	4.6725	0.6122
NA19452	5.8873	0.8966
NA19454	4.6725	0.6122
NA19455	5.5135	0.8075
NA19456	4.6725	0.6122
NA19457	5.5135	0.8075
NA19461	4.6725	0.6122
NA19462	5.5135	0.8075
NA19463	5.8873	0.8966
NA19466	4.6725	0.6122
NA19467	6.9469	0.9609
NA19468	3.9598	0.5036
NA19471	5.8873	0.8966
NA19472	5.8873	0.8966
NA19473	1.9899	0.1801
NA19474	5.5135	0.8075
NA19475	4.6725	0.6122
NA19625	1.9899	0.1801
NA19648	2.5073	0.3494
NA19649	3.491	0.4649
NA19651	3.9598	0.5036
NA19652	6.9469	0.9609
NA19654	2.7707	0.3726
NA19655	4.6725	0.6122
NA19657	2.3481	0.2704
NA19658	1.9899	0.1801
NA19661	2.9586	0.4022
NA19663	1.9899	0.1801
NA19664	5.8873	0.8966
NA19669	2.5073	0.3494
NA19670	3.9598	0.5036
NA19676	2.7707	0.3726
NA19678	1.9899	0.1801
NA19679	2.9586	0.4022
NA19681	4.6725	0.6122
NA19682	2.3481	0.2704
NA19684	5.8873	0.8966
NA19700	4.9893	0.7772
NA19701	5.8873	0.8966
NA19703	5.8873	0.8966
NA19704	3.9598	0.5036
NA19707	2.3481	0.2704
NA19711	5.5135	0.8075
NA19712	5.5135	0.8075
NA19713	4.6725	0.6122
NA19716	2.3481	0.2704
NA19717	5.8873	0.8966
NA19719	2.7707	0.3726
NA19720	6.9469	0.9609
NA19722	2.3481	0.2704
NA19723	2.7707	0.3726
NA19725	2.3481	0.2704
NA19726	2.9698	0.4429
NA19728	3.9598	0.5036
NA19729	2.3481	0.2704
NA19731	3.9598	0.5036
NA19732	4.6725	0.6122
NA19734	2.3481	0.2704
NA19735	5.5135	0.8075
NA19740	3.9598	0.5036
NA19741	3.9598	0.5036
NA19746	3.9598	0.5036
NA19747	4.6725	0.6122
NA19749	4.6725	0.6122
NA19750	2.3481	0.2704
NA19752	1.761	0.155
NA19755	3.9598	0.5036
NA19756	4.6725	0.6122
NA19758	4.6725	0.6122
NA19759	4.6725	0.6122
NA19761	2.3481	0.2704
NA19762	1.9899	0.1801
NA19764	3.9598	0.5036
NA19770	5.8873	0.8966
NA19771	1.4924	0.1294
NA19773	1.8804	0.1741
NA19774	4.6725	0.6122
NA19776	2.3481	0.2704
NA19777	3.9598	0.5036
NA19779	2.9586	0.4022
NA19780	4.9893	0.7772
NA19782	3.5043	0.4808
NA19783	2.3481	0.2704
NA19785	1.9899	0.1801
NA19786	2.3481	0.2704
NA19788	4.6725	0.6122
NA19789	5.5135	0.8075
NA19792	2.5073	0.3494
NA19794	4.6725	0.6122
NA19795	4.6725	0.6122
NA19818	5.5135	0.8075
NA19819	5.5135	0.8075
NA19834	4.6725	0.6122
NA19835	5.5135	0.8075
NA19900	6.9469	0.9609
NA19901	4.6725	0.6122
NA19904	2.3481	0.2704
NA19908	7.4179	0.9936
NA19909	5.8873	0.8966
NA19913	5.5135	0.8075
NA19914	3.9598	0.5036
NA19916	3.491	0.4649
NA19917	5.5135	0.8075
NA19920	4.6725	0.6122
NA19921	5.5135	0.8075
NA19922	1.9899	0.1801
NA19923	4.6725	0.6122
NA19982	4.6725	0.6122
NA19984	5.5135	0.8075
NA20126	4.6725	0.6122
NA20127	4.6725	0.6122
NA20274	4.6725	0.6122
NA20276	4.6725	0.6122
NA20278	5.8873	0.8966
NA20281	3.9598	0.5036
NA20282	5.5135	0.8075
NA20287	3.9598	0.5036
NA20289	6.2865	0.9577
NA20291	5.5135	0.8075
NA20294	4.6725	0.6122
NA20296	4.6725	0.6122
NA20298	2.3481	0.2704
NA20299	4.1351	0.6022
NA20314	2.9586	0.4022
NA20317	5.5135	0.8075
NA20318	4.6725	0.6122
NA20320	3.9598	0.5036
NA20321	4.9893	0.7772
NA20332	6.9469	0.9609
NA20334	4.6725	0.6122
NA20339	7.4179	0.9936
NA20340	3.9598	0.5036
NA20342	4.6725	0.6122
NA20346	3.9598	0.5036
NA20348	3.9598	0.5036
NA20351	2.3481	0.2704
NA20355	5.5135	0.8075
NA20356	5.5135	0.8075
NA20357	2.3481	0.2704
NA20359	1.9899	0.1801
NA20362	3.5043	0.4808
NA20412	2.7707	0.3726
NA20502	2.9586	0.4022
NA20503	2.3481	0.2704
NA20504	3.7277	0.4936
NA20505	2.9586	0.4022
NA20506	5.8873	0.8966
NA20507	1.4868	0.1178
NA20508	2.3481	0.2704
NA20509	1.9899	0.1801
NA20510	3.491	0.4649
NA20511	1.9899	0.1801
NA20512	2.5073	0.3494
NA20513	2.9586	0.4022
NA20514	3.9598	0.5036
NA20515	6.9469	0.9609
NA20516	2.9586	0.4022
NA20517	2.3481	0.2704
NA20518	1.7544	0.151
NA20519	5.8873	0.8966
NA20520	1.9899	0.1801
NA20521	1	0.0308
NA20522	2.9586	0.4022
NA20524	4.6725	0.6122
NA20525	4.6725	0.6122
NA20527	3.9598	0.5036
NA20528	4.6725	0.6122
NA20529	3.2989	0.4633
NA20530	4.6725	0.6122
NA20531	5.5135	0.8075
NA20532	2.3481	0.2704
NA20533	4.6725	0.6122
NA20534	4.6725	0.6122
NA20535	2.7707	0.3726
NA20536	2.3481	0.2704
NA20538	2.7707	0.3726
NA20539	2.5073	0.3494
NA20540	1	0.0308
NA20541	1.4868	0.1178
NA20542	2.2189	0.2624
NA20543	2.9586	0.4022
NA20544	1	0.0308
NA20581	3.491	0.4649
NA20582	6.9469	0.9609
NA20585	3.9598	0.5036
NA20586	4.6725	0.6122
NA20587	1.9899	0.1801
NA20588	8.753	0.9976
NA20589	2.9586	0.4022
NA20752	4.6725	0.6122
NA20753	6.9469	0.9609
NA20754	4.6725	0.6122
NA20755	3.9598	0.5036
NA20756	3.9598	0.5036
NA20757	2.9586	0.4022
NA20758	5.5135	0.8075
NA20759	1.9899	0.1801
NA20760	3.9598	0.5036
NA20761	6.9469	0.9609
NA20762	1	0.0308
NA20763	2.3481	0.2704
NA20764	5.5135	0.8075
NA20765	3.491	0.4649
NA20766	2.9586	0.4022
NA20767	1.3924	0.1074
NA20768	4.6725	0.6122
NA20769	1.7544	0.151
NA20770	1.9899	0.1801
NA20771	1.4868	0.1178
NA20772	2.7707	0.3726
NA20773	5.8873	0.8966
NA20774	5.8873	0.8966
NA20775	5.8873	0.8966
NA20778	3.7277	0.4936
NA20783	6.9469	0.9609
NA20785	4.9893	0.7772
NA20786	1.8804	0.1741
NA20787	5.8873	0.8966
NA20790	1.9899	0.1801
NA20792	4.6725	0.6122
NA20795	5.8873	0.8966
NA20796	5.5135	0.8075
NA20797	2.9586	0.4022
NA20798	2.5073	0.3494
NA20799	3.7277	0.4936
NA20800	2.3481	0.2704
NA20801	3.2989	0.4633
NA20802	4.6725	0.6122
NA20803	4.6725	0.6122
NA20804	1.9899	0.1801
NA20805	1	0.0308
NA20806	1.18	0.0647
NA20807	2.3481	0.2704
NA20808	1.18	0.0647
NA20809	1.18	0.0647
NA20810	2.5073	0.3494
NA20811	1	0.0308
NA20812	1.18	0.0647
NA20813	2.9586	0.4022
NA20814	3.491	0.4649
NA20815	2.3481	0.2704
NA20818	1.4868	0.1178
NA20819	2.9586	0.4022
NA20821	2.3481	0.2704
NA20822	2.7707	0.3726
NA20826	3.5043	0.4808
NA20827	4.6725	0.6122
NA20828	4.6725	0.6122
NA20832	4.6725	0.6122
NA20845	4.9893	0.7772
NA20846	2.3481	0.2704
NA20847	1.761	0.155
NA20849	1	0.0308
NA20850	1.3924	0.1074
NA20851	1.18	0.0647
NA20852	2.3481	0.2704
NA20853	4.6725	0.6122
NA20854	1	0.0308
NA20856	3.9598	0.5036
NA20858	4.9893	0.7772
NA20859	1.8733	0.1733
NA20861	2.3481	0.2704
NA20862	2.5073	0.3494
NA20863	5.5135	0.8075
NA20864	2.3481	0.2704
NA20866	2.5073	0.3494
NA20867	2.3481	0.2704
NA20868	4.6725	0.6122
NA20869	2.7707	0.3726
NA20870	4.6725	0.6122
NA20872	1.9899	0.1801
NA20874	4.6725	0.6122
NA20875	4.6725	0.6122
NA20876	4.6725	0.6122
NA20877	3.9598	0.5036
NA20878	2.9586	0.4022
NA20881	1.9899	0.1801
NA20882	4.1351	0.6022
NA20884	3.1591	0.4605
NA20885	4.6725	0.6122
NA20886	4.9893	0.7772
NA20887	5.5135	0.8075
NA20888	2.9586	0.4022
NA20889	2.5073	0.3494
NA20890	1.9899	0.1801
NA20891	3.9598	0.5036
NA20892	5.8873	0.8966
NA20894	2.9586	0.4022
NA20895	2.3481	0.2704
NA20896	1.26	0.0938
NA20897	4.9893	0.7772
NA20899	1.26	0.0938
NA20900	3.5043	0.4808
NA20901	2.3481	0.2704
NA20902	1.18	0.0647
NA20903	2.3481	0.2704
NA20904	2.5073	0.3494
NA20905	4.9893	0.7772
NA20906	2.9586	0.4022
NA20908	1.18	0.0647
NA20910	1.18	0.0647
NA20911	4.9893	0.7772
NA21086	4.9893	0.7772
NA21087	1.9899	0.1801
NA21088	3.9598	0.5036
NA21089	1.9899	0.1801
NA21090	4.6725	0.6122
NA21091	2.3481	0.2704
NA21092	1.18	0.0647
NA21093	1.9899	0.1801
NA21094	3.491	0.4649
NA21095	2.9586	0.4022
NA21097	1.9899	0.1801
NA21098	2.9586	0.4022
NA21099	2.2189	0.2624
NA21100	2.3481	0.2704
NA21101	1	0.0308
NA21102	5.8873	0.8966
NA21103	4.6725	0.6122
NA21104	6.9469	0.9609
NA21105	1	0.0308
NA21106	2.7707	0.3726
NA21107	2.3481	0.2704
NA21108	3.491	0.4649
NA21109	1	0.0308
NA21110	4.6725	0.6122
NA21111	2.3481	0.2704
NA21112	2.3481	0.2704
NA21113	4.9893	0.7772
NA21114	4.1351	0.6022
NA21115	2.3481	0.2704
NA21116	5.5135	0.8075
NA21117	6.9469	0.9609
NA21118	3.9598	0.5036
NA21119	5.5135	0.8075
NA21120	4.6725	0.6122
NA21122	2.3481	0.2704
NA21123	1.9899	0.1801
NA21124	1.8804	0.1741
NA21125	1.1151	0.0559
NA21126	5.8873	0.8966
NA21127	2.3481	0.2704
NA21128	1.9899	0.1801
NA21129	2.7707	0.3726
NA21130	2.3481	0.2704
NA21133	1.18	0.0647
NA21135	5.8873	0.8966
NA21137	3.9598	0.5036
NA21141	4.6725	0.6122
NA21142	2.3481	0.2704
NA21143	1.5876	0.1494
NA21144	1.18	0.0647
